periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2026-03,BP PRODUBANCO,BP PRODUBANCO,activos_total,9198745.81122,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,7
2026-03,BP AUSTRO,BP AUSTRO,activos_total,3528072.99421,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,9
2026-03,BP BOLIVARIANO,BP BOLIVARIANO,activos_total,6282749.33816,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,10
2026-03,BP CITIBANK,BP CITIBANK,activos_total,885899.427,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,11
2026-03,BP DINERS,BP DINERS,activos_total,3323483.85582,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,12
2026-03,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,activos_total,1436507.25984,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,13
2026-03,BP INTERNACIONAL,BP INTERNACIONAL,activos_total,6208414.95569,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,14
2026-03,BP LOJA,BP LOJA,activos_total,1036126.45708,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,15
2026-03,BP MACHALA,BP MACHALA,activos_total,1276501.55852,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,16
2026-03,BP SOLIDARIO,BP SOLIDARIO,activos_total,783500.87692,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,17
2026-03,BP PROCREDIT,BP PROCREDIT,activos_total,688408.4852,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,19
2026-03,BP AMAZONAS,BP AMAZONAS,activos_total,458548.13131,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,20
2026-03,BP BANCO COMERCIAL DE MANABI,BP BANCO COMERCIAL DE MANABI,activos_total,151109.39247,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,21
2026-03,BP LITORAL,BP LITORAL,activos_total,43409.3615,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,22
2026-03,BP COOPNACIONAL,BP COOPNACIONAL,activos_total,249594.97164,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,23
2026-03,BP CAPITAL,BP CAPITAL,activos_total,82749.33489,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,24
2026-03,BP DELBANK,BP DELBANK,activos_total,37899.17176,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,25
2026-03,BANCO ATLÁNTIDA S.A.,BANCO ATLANTIDA S.A.,activos_total,149500.0102,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,26
2026-03,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO","BP BANCO DESARROLLO DE LOS PUEBLOS S.A., CODESARROLLO",activos_total,331742.01781,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,27
2026-03,BP VISIONFUND ECUADOR S.A.,BP VISIONFUND ECUADOR S.A.,activos_total,175437.37605,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,28
2026-03,BP GUAYAQUIL,BP GUAYAQUIL,morosidad_total,0.0230122718,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,3
2026-03,BP PACIFICO,BP PACIFICO,morosidad_total,0.0245201236,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,4
2026-03,BP PICHINCHA,BP PICHINCHA,morosidad_total,0.0421061929,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,5
2026-03,BP PRODUBANCO,BP PRODUBANCO,morosidad_total,0.0288708812,porcentaje_decimal,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,INDICADORES,27,6
